range,posture,start,end,
180,Lying,5148258,5149647,
180,Lying,5148258,5149660,
180,Lying,5148258,5149676,
180,Lying,5148258,5149689,
180,Lying,5148258,5149705,
180,Lying,5148258,5149718,
180,Lying,5148258,5149728,
180,Lying,5148258,5149747,
180,Lying,5148258,5149758,
180,Lying,5148258,5149771,
180,Lying,5148258,5149787,
180,Lying,5148258,5149800,
180,Lying,5148258,5149815,
180,Lying,5148258,5149829,
180,Lying,5148258,5149839,
180,Lying,5148258,5149857,
180,Lying,5148258,5149869,
180,Lying,5148258,5149884,
180,Lying,5148258,5149897,
180,Lying,5148258,5149911,
180,Lying,5148258,5149926,
